,LRU Miss Address
950,0xbfe74110
951,0xbfe740e4
952,0xbfe740e0
953,0xbfe7406c
954,0xbfe74068
955,0xbfe74064
956,0xbfe74050
957,0xbfe73fcc
958,0xbfe73fd8
959,0xbfe73fd4
960,0xbfe73fd0
961,0xbfe73fc8
962,0xbfe73fbc
963,0xbfe73f6c
964,0xbfe73fc0
965,0x61eff8
966,0xbfe73fc4
967,0x61f4d8
968,0x61f4dc
969,0xbfe740d8
970,0xbfe7408c
971,0xbfe7410c
972,0x61f000
973,0x61f679
974,0xbfe740dc
975,0x61f6d0
976,0x61f6cc
977,0x61f504
978,0x61f341
979,0x61f398
980,0x61f394
981,0x61f1cc
982,0xbfe74104
983,0x61eca0
984,0xbfe740f4
985,0xbfe74060
986,0xbfe740fc
987,0xbfe74100
988,0xbfe7406c
989,0xbfe740f8
990,0xbfe73f8c
991,0xbfe73fb4
992,0xbfe73fb0
993,0xbfe73f90
994,0xbfe73fb8
995,0x8048854
996,0x8048858
997,0x804885c
998,0xbfe73fa8
999,0xbfe73f94
1000,0x61efe8
1001,0xbfe73f88
1002,0xbfe73f84
1003,0xbfe73f7c
1004,0xbfe73f80
1005,0x61efe4
1006,0xbfe73f78
1007,0xbfe73f74
1008,0xbfe73f68
1009,0xbfe73f6c
1010,0xbfe73f70
1011,0x61efe0
1012,0xbfe73f64
1013,0xbfe73f58
1014,0xbfe73f5c
1015,0xbfe73f60
1016,0xbfe73f3c
1017,0x61f4b4
1018,0x61f4b0
1019,0x61f4b8
1020,0x61fb9c
1021,0x61fba4
1022,0xbfe73f98
1023,0x61fdd4
1024,0x8048856
1025,0x61fdd6
1026,0x61fdd0
1027,0xbfe73fb0
1028,0xbfe73fb8
1029,0x61fdc8
1030,0xbfe73fd0
1031,0x61fd08
1032,0x61fb8c
1033,0x61fcf0
1034,0xbfe73fd8
1035,0x61fd44
1036,0x61fba0
1037,0x61fd48
1038,0x61f000
1039,0xbfe73fac
1040,0x61f504
1041,0x61f1cc
1042,0x61fb98
1043,0x61fd34
1044,0x61f004
1045,0x61f198
1046,0x61f19c
1047,0x61f660
1048,0x61fd4c
1049,0x61fb70
1050,0xbfe73fa7
1051,0x61fb74
1052,0x61fb78
1053,0x61fb7c
1054,0x61fb80
1055,0xbfe73f9c
1056,0xbfe73fa0
1057,0x61efe4
1058,0xbfe73f88
1059,0xbfe73f84
1060,0xbfe73f78
1061,0xbfe73f7c
1062,0xbfe73f80
1063,0x61efe0
1064,0xbfe73f74
1065,0xbfe73f68
1066,0xbfe73f6c
1067,0xbfe73f70
1068,0xbfe73f4c
1069,0x61f4b4
1070,0x61f4b0
1071,0x61f4b8
1072,0xbfe73f98
1073,0xbfe73f94
1074,0x61fde0
1075,0x61fb71
1076,0x61fde1
1077,0x61fb73
1078,0x61fde3
1079,0x61fdf2
1080,0x61fdf1
1081,0x61fdf0
1082,0x61fdef
1083,0x61fdee
1084,0x61fded
1085,0x61fdec
1086,0x61fdeb
1087,0x61fdea
1088,0x61fde9
1089,0x61fde8
1090,0x61fd24
1091,0xbfe73fbc
1092,0xbfe73fc0
1093,0xbfe73fc4
1094,0xbfe73fc8
1095,0xbfe73fcc
1096,0xbfe74064
1097,0xbfe74060
1098,0xbfe7417c
1099,0xbfe74190
1100,0xbfe74174
1101,0x61fcd8
1102,0xbfe74180
1103,0x61fcdc
1104,0xbfe7401a
1105,0xbfe740f4
1106,0xbfe74054
1107,0xbfe74160
1108,0xbfe7405c
1109,0xbfe74040
1110,0xbfe74044
1111,0xbfe74034
1112,0xbfe74033
1113,0xbfe7403c
1114,0xbfe74010
1115,0xbfe74014
1116,0xbfe74198
1117,0xbfe741a0
1118,0x61fcd4
1119,0xbfe741b8
1120,0xbfe741d8
1121,0x61eca4
1122,0xbfe741f4
1123,0xbfe741e0
1124,0xbfe741dc
1125,0xbfe74038
1126,0xbfe73f10
1127,0xbfe741e8
1128,0xbfe73f14
1129,0xbfe73f18
1130,0xbfe741ec
1131,0xbfe73f1c
1132,0xbfe73f20
1133,0xbfe741f0
1134,0xbfe73f24
1135,0xbfe741f8
1136,0xbfe74214
1137,0xbfe74200
1138,0xbfe741fc
1139,0xbfe73f28
1140,0xbfe74208
1141,0xbfe73f2c
1142,0xbfe73f30
1143,0xbfe7420c
1144,0xbfe73f34
1145,0xbfe73f38
1146,0xbfe74210
1147,0xbfe73f3c
1148,0xbfe74218
1149,0xbfe7422c
1150,0xbfe74064
1151,0xbfe74220
1152,0x61fcde
1153,0x61fb90
1154,0xbfe74238
1155,0xbfe74258
1156,0xbfe7426c
1157,0x61fdac
1158,0xbfe74274
1159,0x61fdb0
1160,0xbfe74260
1161,0x61fdb4
1162,0xbfe74268
1163,0x61fd08
1164,0x61fda8
1165,0x61fda4
1166,0xbfe73ecc
1167,0xbfe73ec8
1168,0xbfe73ebc
1169,0xbfe73ec0
1170,0xbfe73ec4
1171,0xbfe73eb8
1172,0x61f414
1173,0x61f410
1174,0x61fcdc
1175,0x61fdbc
1176,0xbfe74278
1177,0xbfe74298
1178,0xbfe742b0
1179,0xbfe74044
1180,0xbfe742b8
1181,0xbfe742c0
1182,0x61fdc0
1183,0xbfe742cc
1184,0x61fdc4
1185,0xbfe74034
1186,0xbfe7403c
1187,0xbfe73f34
1188,0xbfe73f10
1189,0xbfe74054
1190,0xbfe74058
1191,0xbfe73f20
1192,0x61ee04
1193,0xbfe73ee4
1194,0xbfe74068
1195,0xbfe73edc
1196,0xbfe73ee0
1197,0xbfe73f24
1198,0xbfe73ed8
1199,0xbfe73ed0
1200,0xbfe73ed4
1201,0x61fd28
1202,0x61fd2c
1203,0xbfe74033
1204,0x61fb88
1205,0xbfe73f14
1206,0x61fd30
1207,0x61fcd4
1208,0xbfe73f1c
1209,0xbfe73f18
1210,0xbfe73f28
1211,0xbfe73f2c
1212,0xbfe73f38
1213,0xbfe73f3c
1214,0xbfe73f30
1215,0xbfe74024
1216,0x61eca4
1217,0xbfe7400c
1218,0xbfe73ec8
1219,0x2c88064
1220,0x2c89000
1221,0xbfe74040
1222,0x61fb90
1223,0x2c86d3c
1224,0x61fbac
1225,0x2c86d44
1226,0x61fbe0
1227,0x2c86d4c
1228,0x61fbd8
1229,0x2c86d54
1230,0x61fc10
1231,0x2c86d5c
1232,0x61fc18
1233,0x2c86d64
1234,0x61fbb8
1235,0x2c86d6c
1236,0x61fbbc
1237,0x2c86d74
1238,0x61fbc0
1239,0x2c86d7c
1240,0x61fbd0
1241,0x2c86d84
1242,0x61fbd4
1243,0x2c86d8c
1244,0x61fbb4
1245,0x2c86d94
1246,0x61fbb0
1247,0x2c86d9c
1248,0x61fbf8
1249,0x2c86da4
1250,0x61fc04
1251,0x2c86dac
1252,0x61fbec
1253,0x2c86db4
1254,0x61fbf0
1255,0x2c86dbc
1256,0x61fbf4
1257,0x2c86dc4
1258,0x61fc3c
1259,0x2c86dcc
1260,0x61fc38
1261,0x2c86dd4
1262,0x61fc20
1263,0x2c86ddc
1264,0x61fc40
1265,0x2c86de4
1266,0x61fc34
1267,0x2c86dec
1268,0x61fc30
1269,0x2c86df4
1270,0x61fc6c
1271,0x2c86dfc
1272,0x61fc44
1273,0x2c86e04
1274,0xbfe74064
1275,0x61fb88
1276,0x61fbb8
1277,0x2c86d68
1278,0x61fbb4
1279,0x2c86d90
1280,0x61fbbc
1281,0x2c86d70
1282,0x61fbc0
1283,0x2c86d78
1284,0x61fbc4
1285,0x61fbec
1286,0x2c86db0
1287,0x61fc04
1288,0x2c86da8
1289,0x2c86df8
1290,0x2c86dd8
1291,0x61fd84
1292,0x61fc08
1293,0x2c86de0
1294,0x61fd80
1295,0x61fc1c
1296,0x61fcd4
1297,0x61f408
1298,0xbfe74044
1299,0x61fda4
1300,0xbfe74068
1301,0xbfe73fd0
1302,0xbfe73fcc
1303,0x61fd08
1304,0xbfe74054
1305,0x61fcd8
1306,0x61eca0
1307,0xbfe74104
1308,0x61fbe8
1309,0xbfe74080
1310,0xbfe74084
1311,0x61fd54
1312,0x61ee08
1313,0x61f1a0
1314,0x61fd58
1315,0xbfe740d8
1316,0xbfe740dc
1317,0x61fd5c
1318,0x61fd60
1319,0xbfe740e0
1320,0xbfe740e4
1321,0xbfe740e8
1322,0xbfe740ec
1323,0xbfe740f0
1324,0xbfe74370
1325,0xbfe74374
1326,0xbfe74378
1327,0xbfe7437c
1328,0xbfe74380
1329,0xbfe74574
1330,0xbfe74394
1331,0xbfe74398
1332,0xbfe7439c
1333,0xbfe743a0
1334,0xbfe74480
1335,0xbfe743b4
1336,0xbfe743c0
1337,0x61f440
1338,0xbfe743bc
1339,0xbfe74558
1340,0xbfe7455c
1341,0xbfe74488
1342,0xbfe7448c
1343,0xbfe74490
1344,0x61fd08
1345,0xbfe74544
1346,0xbfe74498
1347,0xbfe74494
1348,0xbfe744b8
1349,0xbfe74580
1350,0xbfe74530
1351,0xbfe74520
1352,0x805f01c
1353,0x805f024
1354,0x805f02c
1355,0x805f034
1356,0x805f03c
