,LRU Miss Address
987,0xbfb22394
988,0xbfb22370
989,0xbfb22398
990,0xbfb2239c
991,0xbfb223a0
992,0xbfb223a4
993,0xbfb223a8
994,0xbfb223ac
995,0xbfb223b0
996,0xbfb2244c
997,0xbfb22454
998,0xbfb223b4
999,0xbfb223b8
1000,0xbfb228fc
1001,0xbfb22914
1002,0xbfb2245c
1003,0xbfb222f0
1004,0xbfb222ec
1005,0xbfb22ab4
1006,0xbfb22ab8
1007,0xbfb22abc
1008,0xbfb22ac0
1009,0xbfb22ac4
1010,0xbfb22ac8
1011,0xbfb22acc
1012,0xbfb22ad0
1013,0xbfb22ad4
1014,0xbfb22ad8
1015,0xbfb22adc
1016,0xbfb22ae0
1017,0xbfb22ae4
1018,0xbfb223d0
1019,0xbfb223cc
1020,0xbfb228f4
1021,0xbfb22340
1022,0xb60e2506
1023,0xb60e2554
1024,0xbfb222f8
1025,0xbfb222f4
1026,0xb60e1a1c
1027,0xbfb222e8
1028,0xbfb222e4
1029,0xbfb222dc
1030,0xbfb222b8
1031,0xbfb222e0
1032,0xbfb222d0
1033,0xb60e24c0
1034,0xb60e24d4
1035,0xb60e24e0
1036,0xbfb222cc
1037,0xbfb22ae6
1038,0xbfb22ae5
1039,0xbfb22ae3
1040,0xbfb22ae2
1041,0xbfb22ae1
1042,0xbfb22adf
1043,0xbfb22ade
1044,0xbfb22add
1045,0xbfb22adc
1046,0xbfb22adb
1047,0xbfb22ada
1048,0xbfb22ad9
1049,0xbfb22ad8
1050,0xbfb22ad7
1051,0xbfb22ad6
1052,0xbfb22ad5
1053,0xbfb22ad4
1054,0xbfb22ad3
1055,0xbfb22ad2
1056,0xbfb22ad1
1057,0xbfb22ad0
1058,0xbfb22acf
1059,0xbfb22ace
1060,0xbfb22acd
1061,0xbfb22acc
1062,0xbfb22acb
1063,0xbfb22aca
1064,0xbfb22ac9
1065,0xbfb22ac8
1066,0xbfb22ac7
1067,0xbfb22ac6
1068,0xbfb22ac5
1069,0xbfb22ac4
1070,0xbfb22ac3
1071,0xbfb22ac2
1072,0xbfb22ac1
1073,0xbfb22ac0
1074,0xbfb22abf
1075,0xbfb22abe
1076,0xbfb22abd
1077,0xbfb22abc
1078,0xbfb22abb
1079,0xbfb22aba
1080,0xbfb22ab9
1081,0xbfb22ab8
1082,0xbfb22ab7
1083,0xbfb22ab6
1084,0xbfb22ab5
1085,0xbfb22ab4
1086,0xbfb222d4
1087,0xbfb222c8
1088,0xbfb222c4
1089,0xbfb222cc
1090,0xbfb222c0
1091,0xbfb222bc
1092,0xbfb222b8
1093,0xb61b7012
1094,0xb61b7013
1095,0xb61b7015
1096,0xbfb222f0
1097,0xb60e24d4
1098,0xbfb222d0
1099,0xbfb222dc
1100,0xbfb222e0
1101,0xbfb222e4
1102,0xbfb222e8
1103,0xbfb222ec
1104,0xbfb223cc
1105,0xbfb22364
1106,0xbfb2243c
1107,0xbfb22460
1108,0xbfb22314
1109,0x81e9de1
1110,0xbfb228c4
1111,0x81e9de2
1112,0x81e9de3
1113,0x81e9de4
1114,0x81e9de5
1115,0x81e9de6
1116,0x81e9de7
1117,0x81e9de8
1118,0x81e9de9
1119,0x81e9dea
1120,0x81e9deb
1121,0x81e9dec
1122,0x81e9ded
1123,0x81e9dee
1124,0x81e9def
1125,0x81e9df0
1126,0x81e9df1
1127,0x81e9df2
1128,0x81e9df3
1129,0x81e9df4
1130,0x81e9df5
1131,0x81e9df6
1132,0x81e9df7
1133,0x81e9df8
1134,0x81e9df9
1135,0x81e9dfa
1136,0x81e9dfb
1137,0x81e9dfc
1138,0x81e9dfd
1139,0xbfb222dc
1140,0xbfb222e0
1141,0xbfb222e4
1142,0xbfb222e8
1143,0xbfb222ec
1144,0xbfb228f4
1145,0xbfb22340
1146,0xbfb22368
1147,0xb60e2506
1148,0xb60e2554
1149,0xbfb222f8
1150,0xbfb222f4
1151,0xbfb222f0
1152,0xb60e1a1c
1153,0xbfb222b8
1154,0xbfb222d0
1155,0xb60e24c0
1156,0xb60e24d4
1157,0xb60e24e0
1158,0xbfb222cc
1159,0x81e9df2
1160,0x81e9df1
1161,0x81e9df0
1162,0x81e9def
1163,0x81e9dee
1164,0x81e9ded
1165,0x81e9dec
1166,0x81e9deb
1167,0x81e9dea
1168,0x81e9de9
1169,0x81e9de8
1170,0x81e9de7
1171,0x81e9de6
1172,0x81e9de5
1173,0x81e9de4
1174,0x81e9de3
1175,0x81e9de2
1176,0x81e9de1
1177,0xbfb222d4
1178,0xbfb222c8
1179,0xbfb222c4
1180,0xbfb222cc
1181,0xbfb222c0
1182,0xbfb222bc
1183,0xbfb222b8
1184,0xb61b7045
1185,0xbfb222f0
1186,0xb60e24d4
1187,0xbfb222d0
1188,0xbfb222dc
1189,0xbfb222e0
1190,0xbfb222e4
1191,0xbfb222e8
1192,0xbfb222ec
1193,0xbfb22368
1194,0xbfb22364
1195,0x81e9dfd
1196,0xbfb2245c
1197,0xbfb22374
1198,0xbfb228fc
1199,0xbfb22460
1200,0xbfb22308
1201,0x81e9dfe
1202,0xbfb223cb
1203,0xb60c20ec
1204,0xb60c1f74
1205,0xbfb22320
1206,0xbfb2243c
1207,0xbfb22390
1208,0xbfb22394
1209,0xbfb22370
1210,0xbfb22398
1211,0xbfb2239c
1212,0xbfb223a0
1213,0xbfb223a4
1214,0xbfb223a8
1215,0xbfb223ac
1216,0xbfb223b0
1217,0xbfb2244c
1218,0xbfb22454
1219,0xbfb223b4
1220,0xbfb223b8
1221,0xbfb22918
1222,0xbfb222f0
1223,0x822f618
1224,0x822f61c
1225,0x822f620
1226,0x822f624
1227,0x822f628
1228,0x822f62c
1229,0x822f630
1230,0x822f634
1231,0x822f638
1232,0x822f63c
1233,0x822f640
1234,0x822f644
1235,0x822f648
1236,0x822f64c
1237,0x822f650
1238,0xbfb223d0
1239,0xbfb223cc
1240,0xbfb228f4
1241,0xbfb22340
1242,0xb60e2506
1243,0xb60e2554
1244,0xbfb222f8
1245,0xbfb222f4
1246,0xb60e1a1c
1247,0xbfb222e8
1248,0xbfb222e4
1249,0xbfb222dc
1250,0xbfb222b8
1251,0xbfb222e0
1252,0xbfb222d0
1253,0xb60e24c0
1254,0xb60e24d4
1255,0xb60e24e0
1256,0xbfb222cc
1257,0x822f64f
1258,0x822f64e
1259,0x822f64d
1260,0x822f64b
1261,0x822f64a
1262,0x822f649
1263,0x822f647
1264,0x822f646
1265,0x822f645
1266,0x822f644
1267,0x822f643
1268,0x822f642
1269,0x822f641
1270,0x822f640
1271,0x822f63f
1272,0x822f63e
1273,0x822f63d
1274,0x822f63c
1275,0x822f63b
1276,0x822f63a
1277,0x822f639
1278,0x822f638
1279,0x822f637
1280,0x822f636
1281,0x822f635
1282,0x822f634
1283,0x822f633
1284,0x822f632
1285,0x822f631
1286,0x822f630
1287,0x822f62f
1288,0x822f62e
1289,0x822f62d
1290,0x822f62c
1291,0x822f62b
1292,0x822f62a
1293,0x822f629
1294,0x822f628
1295,0x822f627
1296,0x822f626
1297,0x822f625
1298,0x822f624
1299,0x822f623
1300,0x822f622
1301,0x822f621
1302,0x822f620
1303,0x822f61f
1304,0x822f61e
1305,0x822f61d
1306,0x822f61c
1307,0x822f61b
1308,0x822f61a
1309,0x822f619
1310,0x822f618
1311,0xbfb222d4
1312,0xbfb222c8
1313,0xbfb222c4
1314,0xbfb222cc
1315,0xbfb222c0
1316,0xbfb222bc
1317,0xbfb222b8
1318,0xb61b7061
1319,0xbfb222f0
1320,0xb60e24d4
1321,0xbfb222d0
1322,0xbfb222dc
